name,description,type,level,sort,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"","","","","","","","","","Bài 4","Luyện tập","168","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson4,'}}"
"","","","","","","","","","Bài 5","Từ vựng","169","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson5,'}}"
"","","","","","","","","","Bài 5","Luyện tập","170","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson5,'}}"
"","","","","","","","","","Bài 6","Từ vựng","171","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson6,'}}"
"","","","","","","","","","Bài 6","Luyện tập","172","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson6,'}}"
"","","","","","","","","","Bài 7","Từ vựng","173","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson7,'}}"
"","","","","","","","","","Bài 7","Luyện tập","174","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson7,'}}"
"","","","","","","","","","Bài 8","Từ vựng","175","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","176","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson8,'}}"
"","","","","","","","","","Bài 9","Từ vựng","177","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","178","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson9,'}}"
"","","","","","","","","","Bài 10","Từ vựng","179","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson10,'}}"
"","","","","","","","","","Bài 10","Luyện tập","180","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson10,'}}"
"","","","","","","","","","Bài 11","Từ vựng","181","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson11,'}}"
"","","","","","","","","","Bài 11","Luyện tập","182","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson11,'}}"
"","","","","","","","","","Bài 12","Từ vựng","183","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson12,'}}"
"","","","","","","","","","Bài 12","Luyện tập","184","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson12,'}}"
"","","","","","","","","","Bài 13","Từ vựng","185","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson13,'}}"
"","","","","","","","","","Bài 13","Luyện tập","186","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson13,'}}"
"","","","","","","","","","Bài 14","Từ vựng","187","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","188","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson14,'}}"
"","","","","","","","","","Bài 15","Từ vựng","189","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","190","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson15,'}}"
"","","","","","","","","","Bài 16","Từ vựng","191","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","192","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson16,'}}"
"","","","","","","","","","Bài 17","Từ vựng","193","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","194","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson17,'}}"
"","","","","","","","","","Bài 18","Từ vựng","195","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson18,'}}"
"","","","","","","","","","Bài 18","Luyện tập","196","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson18,'}}"
"","","","","","","","","","Bài 19","Từ vựng","197","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson19,'}}"
"","","","","","","","","","Bài 19","Luyện tập","198","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson19,'}}"
"","","","","","","","","","Bài 20","Từ vựng","199","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson20,'}}"
"","","","","","","","","","Bài 20","Luyện tập","200","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson20,'}}"
"","","","","","","","","","Bài 21","Từ vựng","201","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson21,'}}"
"","","","","","","","","","Bài 21","Luyện tập","202","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson21,'}}"
"","","","","","","","","","Bài 22","Từ vựng","203","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson22,'}}"
"","","","","","","","","","Bài 22","Luyện tập","204","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson22,'}}"
"","","","","","","","","","Bài 23","Từ vựng","205","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson23,'}}"
"","","","","","","","","","Bài 23","Luyện tập","206","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson23,'}}"
"","","","","","","","","","Bài 24","Từ vựng","207","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson24,'}}"
"","","","","","","","","","Bài 24","Luyện tập","208","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson24,'}}"
"","","","","","","","","","Bài 25","Từ vựng","209","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson25,'}}"
"","","","","","","","","","Bài 25","Luyện tập","210","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson25,'}}"
"","","","","","","","","","Bài 26","Từ vựng","211","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson26,'}}"
"","","","","","","","","","Bài 26","Luyện tập","212","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson26,'}}"
"","","","","","","","","","Bài 27","Từ vựng","213","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson27,'}}"
"","","","","","","","","","Bài 27","Luyện tập","214","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson27,'}}"
"","","","","","","","","","Bài 28","Từ vựng","215","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson28,'}}"
"","","","","","","","","","Bài 28","Luyện tập","216","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson28,'}}"
"","","","","","","","","","Bài 29","Từ vựng","217","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson29,'}}"
"","","","","","","","","","Bài 29","Luyện tập","218","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson29,'}}"
"","","","","","","","","","Bài 30","Từ vựng","219","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson30,'}}"
"","","","","","","","","","Bài 30","Luyện tập","220","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson30,'}}"
"","","","","","","","","","Bài 31","Từ vựng","221","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson31,'}}"
"","","","","","","","","","Bài 31","Luyện tập","222","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson31,'}}"
"","","","","","","","","","Bài 32","Từ vựng","223","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson32,'}}"
"","","","","","","","","","Bài 32","Luyện tập","224","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson32,'}}"
"","","","","","","","","","Bài 33","Từ vựng","225","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson33,'}}"
"","","","","","","","","","Bài 33","Luyện tập","226","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson33,'}}"
"","","","","","","","","","Bài 34","Từ vựng","227","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson34,'}}"
"","","","","","","","","","Bài 34","Luyện tập","228","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson34,'}}"
"","","","","","","","","","Bài 35","Từ vựng","229","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson35,'}}"
"","","","","","","","","","Bài 35","Luyện tập","230","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson35,'}}"
"","","","","","","","","","Bài 36","Từ vựng","231","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson36,'}}"
"","","","","","","","","","Bài 36","Luyện tập","232","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson36,'}}"
"","","","","","","","","","Bài 37","Từ vựng","233","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson37,'}}"
"","","","","","","","","","Bài 37","Luyện tập","234","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson37,'}}"
"","","","","","","","","","Bài 38","Từ vựng","235","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson38,'}}"
"","","","","","","","","","Bài 38","Luyện tập","236","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson38,'}}"
"","","","","","","","","","Bài 39","Từ vựng","237","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson39,'}}"
"","","","","","","","","","Bài 39","Luyện tập","238","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson39,'}}"
"","","","","","","","","","Bài 40","Từ vựng","239","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson40,'}}"
"","","","","","","","","","Bài 40","Luyện tập","240","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson40,'}}"
"","","","","","","","","","Bài 41","Từ vựng","241","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson41,'}}"
"","","","","","","","","","Bài 41","Luyện tập","242","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia3,lesson41,'}}"
"Các động từ N2 thường dùng ","Các động từ cơ bản trong N2, có các ví dụng sử dụng đi kèm.","vocabulary","N2","4103","40","40","","","Bài 1","Từ vựng","243","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson1,'}}"
"","","","","","","","","","Bài 1","Luyện tập","244","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson1,'}}"
"","","","","","","","","","Bài 2","Từ vựng","245","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson2,'}}"
"","","","","","","","","","Bài 2","Luyện tập","246","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson2,'}}"
"","","","","","","","","","Bài 3","Từ vựng","247","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson3,'}}"
"","","","","","","","","","Bài 3","Luyện tập","248","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson3,'}}"
"","","","","","","","","","Bài 4","Từ vựng","249","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson4,'}}"
"","","","","","","","","","Bài 4","Luyện tập","250","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson4,'}}"
"","","","","","","","","","Bài 5","Từ vựng","251","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson5,'}}"
"","","","","","","","","","Bài 5","Luyện tập","252","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson5,'}}"
"","","","","","","","","","Bài 6","Từ vựng","253","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson6,'}}"
"","","","","","","","","","Bài 6","Luyện tập","254","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson6,'}}"
"","","","","","","","","","Bài 7","Từ vựng","255","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson7,'}}"
"","","","","","","","","","Bài 7","Luyện tập","256","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson7,'}}"
"","","","","","","","","","Bài 8","Từ vựng","257","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","258","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson8,'}}"
"","","","","","","","","","Bài 9","Từ vựng","259","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","260","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson9,'}}"
"","","","","","","","","","Bài 10","Từ vựng","261","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson10,'}}"
"","","","","","","","","","Bài 10","Luyện tập","262","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson10,'}}"
"","","","","","","","","","Bài 11","Từ vựng","263","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson11,'}}"
"","","","","","","","","","Bài 11","Luyện tập","264","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson11,'}}"
"","","","","","","","","","Bài 12","Từ vựng","265","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson12,'}}"
"","","","","","","","","","Bài 12","Luyện tập","266","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson12,'}}"
"","","","","","","","","","Bài 13","Từ vựng","267","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson13,'}}"
"","","","","","","","","","Bài 13","Luyện tập","268","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson13,'}}"
"","","","","","","","","","Bài 14","Từ vựng","269","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","270","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson14,'}}"
"","","","","","","","","","Bài 15","Từ vựng","271","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","272","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson15,'}}"
"","","","","","","","","","Bài 16","Từ vựng","273","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","274","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson16,'}}"
"","","","","","","","","","Bài 17","Từ vựng","275","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","276","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson17,'}}"
"","","","","","","","","","Bài 18","Từ vựng","277","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson18,'}}"
"","","","","","","","","","Bài 18","Luyện tập","278","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson18,'}}"
"","","","","","","","","","Bài 19","Từ vựng","279","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson19,'}}"
"","","","","","","","","","Bài 19","Luyện tập","280","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson19,'}}"
"","","","","","","","","","Bài 20","Từ vựng","281","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson20,'}}"
"","","","","","","","","","Bài 20","Luyện tập","282","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson20,'}}"
"","","","","","","","","","Bài 21","Từ vựng","283","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson21,'}}"
"","","","","","","","","","Bài 21","Luyện tập","284","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson21,'}}"
"","","","","","","","","","Bài 22","Từ vựng","285","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson22,'}}"
"","","","","","","","","","Bài 22","Luyện tập","286","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson22,'}}"
"","","","","","","","","","Bài 23","Từ vựng","287","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',404dongtu,lesson23,'}}"
