name,description,type,level,sort,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"Cặp từ vựng trái nghĩa N2 tập 2","Học theo các cặp từ trái nghĩa rất dễ thuộc dễ nhớ","vocabulary","N2","4101","40","40","","","Bài 1","Từ vựng","81","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson1,'}}"
"","","","","","","","","","Bài 1","Luyện tập","82","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson1,'}}"
"","","","","","","","","","Bài 2","Từ vựng","83","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson2,'}}"
"","","","","","","","","","Bài 2","Luyện tập","84","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson2,'}}"
"","","","","","","","","","Bài 3","Từ vựng","85","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson3,'}}"
"","","","","","","","","","Bài 3","Luyện tập","86","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson3,'}}"
"","","","","","","","","","Bài 4","Từ vựng","87","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson4,'}}"
"","","","","","","","","","Bài 4","Luyện tập","88","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson4,'}}"
"","","","","","","","","","Bài 5","Từ vựng","89","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson5,'}}"
"","","","","","","","","","Bài 5","Luyện tập","90","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson5,'}}"
"","","","","","","","","","Bài 6","Từ vựng","91","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson6,'}}"
"","","","","","","","","","Bài 6","Luyện tập","92","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson6,'}}"
"","","","","","","","","","Bài 7","Từ vựng","93","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson7,'}}"
"","","","","","","","","","Bài 7","Luyện tập","94","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson7,'}}"
"","","","","","","","","","Bài 8","Từ vựng","95","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","96","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson8,'}}"
"","","","","","","","","","Bài 9","Từ vựng","97","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","98","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson9,'}}"
"","","","","","","","","","Bài 10","Từ vựng","99","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson10,'}}"
"","","","","","","","","","Bài 10","Luyện tập","100","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia2,lesson10,'}}"
