# Nam 1 tieu hoc
10229200,骨
0755200,困
09162200,砂
1060200,座
11135200,済
12195200,裁
12172200,策
0515200,冊
10206200,蚕
06124200,至
07152200,私
0939200,姿
11206200,視
12203200,詞
14107200,誌
1468200,磁
1048200,射
11100200,捨
0445200,尺
0896200,若
1633200,樹
0435200,収
0867200,宗
1239200,就
12193200,衆
1065200,従
1650200,縦
1726200,縮
1562200,熟
10187200,純
0547200,処
13110200,署
1595200,諸
1084200,除
1049200,将
1305200,傷
1429200,障
0932200,城
1333200,蒸
10223200,針
0415200,仁
0848200,垂
11103200,推
0324200,寸
11160200,盛
13118200,聖
13138200,誠
0944200,宣
0946200,専
09122200,泉
09132200,洗
09112200,染
zen200,善
0936200,奏
11168200,窓
1208200,創
12196200,装
1415200,層
1626200,操
1522200,蔵
1909200,臓
0666200,存
1238200,尊
0670200,宅
08130200,担
11108200,探
1598200,誕
09121200,段
1362200,暖
1008200,値
0868200,宙
08112200,忠
1166200,著
0562200,庁
11228200,頂
1559200,潮
13145200,賃
12155200,痛
1050200,展
10212200,討
1089200,党
1648200,糖
0873200,届
1834200,難
0801200,乳
14111200,認
10189200,納
11196200,脳
09135200,派
08133200,拝
09186200,背
09185200,肺
1010200,俳
10156200,班
12105200,晩
0751200,否
07117200,批
10177200,秘
13120200,腹
1610200,奮
08110200,並
1086200,陛
11125200,閉
0470200,片
12198200,補
1440200,暮
0870200,宝
11210200,訪
0312200,亡
07103200,忘
12121200,棒
08158200,枚
1327200,幕
1137200,密
1396200,盟
1447200,模
11211200,訳
1184200,郵
1702200,優
0560200,幼
11127200,欲
11192200,翌
0701200,乱
0741200,卵
1731200,覧
13126200,裏
0962200,律
1828200,臨
10120200,朗
15102200,論
1290200,揮
# 4級 中学校在学程度(計316字、累計1322字)
1287200,握
0688200,扱
0805200,依
0937200,威
09137200,為
1201200,偉
1338200,違
1481200,維
1649200,緯
0761200,壱
0681200,芋
1172200,陰
1427200,隠
1519200,影
15117200,鋭
12217200,越
1288200,援
1387200,煙
13158200,鉛
1577200,縁
06103200,汚
08121200,押
1231200,奥
1623200,憶
1160200,菓
1360200,暇
1477200,箇
13153200,雅
0413200,介
07106200,戒
09151200,皆
1605200,壊
13151200,較
1641200,獲
0426200,刈
0598200,甘
06104200,汗
1101200,乾
1308200,勧
1552200,歓
1565200,監
1718200,環
2302200,鑑
0743200,含
0851200,奇
08193200,祈
10231200,鬼
1245200,幾
15112200,輝
1502200,儀
1536200,戯
13132200,詰
0739200,却
11193200,脚
0310200,及
0502200,丘
0695200,朽
kyo200,巨
08125200,拠
12219200,距
1251200,御
0425200,凶
0645200,叫
07146200,狂
08171200,況
09141200,狭
1091200,恐
2014200,響
2203200,驚
0613200,仰
14137200,駆
0872200,屈
1196200,掘
1908200,繰
1093200,恵
1301200,傾
13113200,継
0793200,迎
1537200,撃
08201200,肩
1088200,兼
1020200,剣
10218200,軒
1220200,圏
1222200,堅
1340200,遣
0586200,玄
09108200,枯
13133200,誇
13178200,鼓
0410200,互
07110200,抗
07122200,攻
07123200,更
0985200,恒
0963200,荒
09210200,香
12234200,項
1569200,稿
14114200,豪
0566200,込
1130200,婚
1829200,鎖
1154200,彩
1374200,歳
13152200,載
1022200,剤
0928200,咲
1190200,惨
0636200,旨
0710200,伺
0824200,刺
10198200,脂
11184200,紫
13164200,雌
1124200,執
0682200,芝
11115200,斜
12142200,煮
11222200,釈
1135200,寂
0696200,朱
09142200,狩
15110200,趣
14132200,需
06126200,舟
07153200,秀
2201200,襲
09111200,柔
1640200,獣
1812200,瞬
